,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units
2351,CHN,China,2019-12-31,27,27,0,0,0.019,0.019,0.0,0.0,,,,,
2352,CHN,China,2020-01-01,27,0,0,0,0.019,0.0,0.0,0.0,,,,,
2353,CHN,China,2020-01-02,27,0,0,0,0.019,0.0,0.0,0.0,,,,,
2354,CHN,China,2020-01-03,44,17,0,0,0.031,0.012,0.0,0.0,,,,,
2355,CHN,China,2020-01-04,44,0,0,0,0.031,0.0,0.0,0.0,,,,,
2356,CHN,China,2020-01-05,59,15,0,0,0.040999999999999995,0.01,0.0,0.0,,,,,
2357,CHN,China,2020-01-06,59,0,0,0,0.040999999999999995,0.0,0.0,0.0,,,,,
2358,CHN,China,2020-01-07,59,0,0,0,0.040999999999999995,0.0,0.0,0.0,,,,,
2359,CHN,China,2020-01-08,59,0,0,0,0.040999999999999995,0.0,0.0,0.0,,,,,
2360,CHN,China,2020-01-09,59,0,0,0,0.040999999999999995,0.0,0.0,0.0,,,,,
2361,CHN,China,2020-01-10,59,0,0,0,0.040999999999999995,0.0,0.0,0.0,,,,,
2362,CHN,China,2020-01-11,59,0,1,1,0.040999999999999995,0.0,0.001,0.001,,,,,
2363,CHN,China,2020-01-12,59,0,1,0,0.040999999999999995,0.0,0.001,0.0,,,,,
2364,CHN,China,2020-01-13,59,0,1,0,0.040999999999999995,0.0,0.001,0.0,,,,,
2365,CHN,China,2020-01-14,59,0,1,0,0.040999999999999995,0.0,0.001,0.0,,,,,
2366,CHN,China,2020-01-15,59,0,2,1,0.040999999999999995,0.0,0.001,0.001,,,,,
2367,CHN,China,2020-01-16,59,0,2,0,0.040999999999999995,0.0,0.001,0.0,,,,,
2368,CHN,China,2020-01-17,63,4,2,0,0.044000000000000004,0.003,0.001,0.0,,,,,
2369,CHN,China,2020-01-18,80,17,2,0,0.055999999999999994,0.012,0.001,0.0,,,,,
2370,CHN,China,2020-01-19,216,136,3,1,0.15,0.094,0.002,0.001,,,,,
2371,CHN,China,2020-01-20,235,19,3,0,0.163,0.013000000000000001,0.002,0.0,,,,,
2372,CHN,China,2020-01-21,386,151,6,3,0.268,0.105,0.004,0.002,,,,,
2373,CHN,China,2020-01-22,526,140,17,11,0.365,0.09699999999999999,0.012,0.008,,,,,
2374,CHN,China,2020-01-23,623,97,17,0,0.433,0.067,0.012,0.0,,,,,
2375,CHN,China,2020-01-24,882,259,26,9,0.613,0.18,0.018000000000000002,0.006,,,,,
2376,CHN,China,2020-01-25,1323,441,41,15,0.919,0.306,0.027999999999999997,0.01,,,,,
2377,CHN,China,2020-01-26,1988,665,56,15,1.381,0.462,0.039,0.01,,,,,
2378,CHN,China,2020-01-27,2775,787,81,25,1.9280000000000002,0.547,0.055999999999999994,0.017,,,,,
2379,CHN,China,2020-01-28,4528,1753,106,25,3.1460000000000004,1.218,0.07400000000000001,0.017,,,,,
2380,CHN,China,2020-01-29,5994,1466,132,26,4.164,1.0190000000000001,0.092,0.018000000000000002,,,,,
2381,CHN,China,2020-01-30,7734,1740,170,38,5.372999999999999,1.209,0.11800000000000001,0.026000000000000002,,,,,
2382,CHN,China,2020-01-31,9714,1980,213,43,6.749,1.376,0.14800000000000002,0.03,,,,,
2383,CHN,China,2020-02-01,11809,2095,259,46,8.205,1.456,0.18,0.032,,,,,
2384,CHN,China,2020-02-02,14399,2590,304,45,10.004,1.7990000000000002,0.21100000000000002,0.031,,,,,
2385,CHN,China,2020-02-03,17211,2812,361,57,11.958,1.954,0.251,0.04,,,,,
2386,CHN,China,2020-02-04,20448,3237,426,65,14.207,2.249,0.29600000000000004,0.045,,,,,
2387,CHN,China,2020-02-05,24320,3872,492,66,16.897000000000002,2.69,0.342,0.046,,,,,
2388,CHN,China,2020-02-06,28047,3727,564,72,19.486,2.589,0.392,0.05,,,,,
2389,CHN,China,2020-02-07,31207,3160,637,73,21.682,2.195,0.44299999999999995,0.051,,,,,
