,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units
6449,ITA,Italy,2019-12-31,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6450,ITA,Italy,2020-01-01,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6451,ITA,Italy,2020-01-02,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6452,ITA,Italy,2020-01-03,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6453,ITA,Italy,2020-01-04,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6454,ITA,Italy,2020-01-05,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6455,ITA,Italy,2020-01-06,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6456,ITA,Italy,2020-01-07,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6457,ITA,Italy,2020-01-08,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6458,ITA,Italy,2020-01-09,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6459,ITA,Italy,2020-01-10,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6460,ITA,Italy,2020-01-11,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6461,ITA,Italy,2020-01-12,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6462,ITA,Italy,2020-01-13,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6463,ITA,Italy,2020-01-14,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6464,ITA,Italy,2020-01-15,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6465,ITA,Italy,2020-01-16,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6466,ITA,Italy,2020-01-17,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6467,ITA,Italy,2020-01-18,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6468,ITA,Italy,2020-01-19,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6469,ITA,Italy,2020-01-20,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6470,ITA,Italy,2020-01-21,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6471,ITA,Italy,2020-01-22,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6472,ITA,Italy,2020-01-23,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6473,ITA,Italy,2020-01-24,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6474,ITA,Italy,2020-01-25,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6475,ITA,Italy,2020-01-26,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6476,ITA,Italy,2020-01-27,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6477,ITA,Italy,2020-01-28,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6478,ITA,Italy,2020-01-29,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6479,ITA,Italy,2020-01-30,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
6480,ITA,Italy,2020-01-31,3,3,0,0,0.05,0.05,0.0,0.0,,,,,
6481,ITA,Italy,2020-02-01,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6482,ITA,Italy,2020-02-02,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6483,ITA,Italy,2020-02-03,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6484,ITA,Italy,2020-02-04,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6485,ITA,Italy,2020-02-05,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6486,ITA,Italy,2020-02-06,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6487,ITA,Italy,2020-02-07,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6488,ITA,Italy,2020-02-08,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6489,ITA,Italy,2020-02-09,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6490,ITA,Italy,2020-02-10,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6491,ITA,Italy,2020-02-11,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6492,ITA,Italy,2020-02-12,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6493,ITA,Italy,2020-02-13,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6494,ITA,Italy,2020-02-14,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6495,ITA,Italy,2020-02-15,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6496,ITA,Italy,2020-02-16,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6497,ITA,Italy,2020-02-17,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6498,ITA,Italy,2020-02-18,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6499,ITA,Italy,2020-02-19,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6500,ITA,Italy,2020-02-20,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6501,ITA,Italy,2020-02-21,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6502,ITA,Italy,2020-02-22,17,14,0,0,0.281,0.23199999999999998,0.0,0.0,,,,,
6503,ITA,Italy,2020-02-23,79,62,2,2,1.307,1.025,0.033,0.033,,,,,
