,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units
7083,KOR,South Korea,2019-12-31,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
7084,KOR,South Korea,2020-01-01,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
7085,KOR,South Korea,2020-01-02,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
7086,KOR,South Korea,2020-01-03,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
7087,KOR,South Korea,2020-01-04,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
7088,KOR,South Korea,2020-01-05,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
7089,KOR,South Korea,2020-01-06,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
7090,KOR,South Korea,2020-01-07,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
7091,KOR,South Korea,2020-01-08,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
7092,KOR,South Korea,2020-01-09,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
7093,KOR,South Korea,2020-01-10,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
7094,KOR,South Korea,2020-01-11,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
7095,KOR,South Korea,2020-01-12,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
7096,KOR,South Korea,2020-01-13,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
7097,KOR,South Korea,2020-01-14,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
7098,KOR,South Korea,2020-01-15,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
7099,KOR,South Korea,2020-01-16,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
7100,KOR,South Korea,2020-01-17,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
7101,KOR,South Korea,2020-01-18,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
7102,KOR,South Korea,2020-01-19,0,0,0,0,0.0,0.0,0.0,0.0,,,,,
7103,KOR,South Korea,2020-01-20,1,1,0,0,0.02,0.02,0.0,0.0,,,,,
7104,KOR,South Korea,2020-01-21,1,0,0,0,0.02,0.0,0.0,0.0,11.0,,0.0,,cases tested
7105,KOR,South Korea,2020-01-22,1,0,0,0,0.02,0.0,0.0,0.0,16.0,5.0,0.0,0.0,cases tested
7106,KOR,South Korea,2020-01-23,1,0,0,0,0.02,0.0,0.0,0.0,,,,,
7107,KOR,South Korea,2020-01-24,2,1,0,0,0.039,0.02,0.0,0.0,25.0,,0.0,,cases tested
7108,KOR,South Korea,2020-01-25,2,0,0,0,0.039,0.0,0.0,0.0,,,,,
7109,KOR,South Korea,2020-01-26,3,1,0,0,0.059000000000000004,0.02,0.0,0.0,48.0,,0.001,,cases tested
7110,KOR,South Korea,2020-01-27,4,1,0,0,0.078,0.02,0.0,0.0,57.0,9.0,0.001,0.0,cases tested
7111,KOR,South Korea,2020-01-28,4,0,0,0,0.078,0.0,0.0,0.0,187.0,130.0,0.004,0.003,cases tested
7112,KOR,South Korea,2020-01-29,4,0,0,0,0.078,0.0,0.0,0.0,,,,,
7113,KOR,South Korea,2020-01-30,4,0,0,0,0.078,0.0,0.0,0.0,244.0,,0.005,,cases tested
7114,KOR,South Korea,2020-01-31,7,3,0,0,0.13699999999999998,0.059000000000000004,0.0,0.0,,,,,
7115,KOR,South Korea,2020-02-01,12,5,0,0,0.23399999999999999,0.098,0.0,0.0,371.0,,0.006999999999999999,,cases tested
7116,KOR,South Korea,2020-02-02,15,3,0,0,0.293,0.059000000000000004,0.0,0.0,429.0,58.0,0.008,0.001,cases tested
7117,KOR,South Korea,2020-02-03,15,0,0,0,0.293,0.0,0.0,0.0,,,,,
7118,KOR,South Korea,2020-02-04,16,1,0,0,0.312,0.02,0.0,0.0,607.0,,0.012,,cases tested
7119,KOR,South Korea,2020-02-05,18,2,0,0,0.35100000000000003,0.039,0.0,0.0,714.0,107.0,0.013999999999999999,0.002,cases tested
7120,KOR,South Korea,2020-02-06,23,5,0,0,0.449,0.098,0.0,0.0,885.0,171.0,0.017,0.003,cases tested
7121,KOR,South Korea,2020-02-07,24,1,0,0,0.46799999999999997,0.02,0.0,0.0,1130.0,245.0,0.022000000000000002,0.005,cases tested
7122,KOR,South Korea,2020-02-08,24,0,0,0,0.46799999999999997,0.0,0.0,0.0,1701.0,571.0,0.033,0.011000000000000001,cases tested
7123,KOR,South Korea,2020-02-09,25,1,0,0,0.488,0.02,0.0,0.0,2340.0,639.0,0.045,0.012,cases tested
7124,KOR,South Korea,2020-02-10,27,2,0,0,0.527,0.039,0.0,0.0,2776.0,436.0,0.054000000000000006,0.008,cases tested
7125,KOR,South Korea,2020-02-11,28,1,0,0,0.546,0.02,0.0,0.0,3629.0,853.0,0.07,0.017,cases tested
7126,KOR,South Korea,2020-02-12,28,0,0,0,0.546,0.0,0.0,0.0,5074.0,1445.0,0.099,0.027999999999999997,cases tested
7127,KOR,South Korea,2020-02-13,28,0,0,0,0.546,0.0,0.0,0.0,5797.0,723.0,0.113,0.013999999999999999,cases tested
7128,KOR,South Korea,2020-02-14,28,0,0,0,0.546,0.0,0.0,0.0,6854.0,1057.0,0.133,0.021,cases tested
7129,KOR,South Korea,2020-02-15,28,0,0,0,0.546,0.0,0.0,0.0,7519.0,665.0,0.146,0.013000000000000001,cases tested
7130,KOR,South Korea,2020-02-16,29,1,0,0,0.5660000000000001,0.02,0.0,0.0,7919.0,400.0,0.154,0.008,cases tested
7131,KOR,South Korea,2020-02-17,30,1,0,0,0.585,0.02,0.0,0.0,8171.0,252.0,0.159,0.005,cases tested
7132,KOR,South Korea,2020-02-18,31,1,0,0,0.605,0.02,0.0,0.0,9265.0,1094.0,0.18,0.021,cases tested
7133,KOR,South Korea,2020-02-19,46,15,0,0,0.897,0.293,0.0,0.0,10411.0,1146.0,0.20199999999999999,0.022000000000000002,cases tested
7134,KOR,South Korea,2020-02-20,80,34,0,0,1.56,0.6629999999999999,0.0,0.0,12161.0,1750.0,0.23600000000000002,0.034,cases tested
7135,KOR,South Korea,2020-02-21,155,75,1,1,3.023,1.463,0.02,0.02,14816.0,2655.0,0.28800000000000003,0.052000000000000005,cases tested
7136,KOR,South Korea,2020-02-22,345,190,2,1,6.729,3.7060000000000004,0.039,0.02,19621.0,4805.0,0.381,0.09300000000000001,cases tested
7137,KOR,South Korea,2020-02-23,601,256,5,3,11.722000000000001,4.993,0.098,0.059000000000000004,22633.0,3012.0,0.439,0.057999999999999996,cases tested
7138,KOR,South Korea,2020-02-24,762,161,7,2,14.863,3.14,0.13699999999999998,0.039,28615.0,5982.0,0.556,0.11599999999999999,cases tested
7139,KOR,South Korea,2020-02-25,892,130,8,1,17.398,2.536,0.156,0.02,36716.0,8101.0,0.713,0.157,cases tested
7140,KOR,South Korea,2020-02-26,1146,254,11,3,22.353,4.954,0.215,0.059000000000000004,46127.0,9411.0,0.8959999999999999,0.183,cases tested
7141,KOR,South Korea,2020-02-27,1595,449,12,1,31.11,8.758,0.23399999999999999,0.02,57990.0,11863.0,1.126,0.23,cases tested
7142,KOR,South Korea,2020-02-28,2022,427,13,1,39.439,8.329,0.254,0.02,70940.0,12950.0,1.3769999999999998,0.251,cases tested
7143,KOR,South Korea,2020-02-29,2931,909,16,3,57.169,17.73,0.312,0.059000000000000004,85693.0,14753.0,1.6640000000000001,0.28600000000000003,cases tested
7144,KOR,South Korea,2020-03-01,3526,595,17,1,68.774,11.605,0.332,0.02,96985.0,11292.0,1.883,0.21899999999999997,cases tested
7145,KOR,South Korea,2020-03-02,4212,686,22,5,82.155,13.38,0.429,0.098,109591.0,12606.0,2.128,0.245,cases tested
